S2085 Outline	S2085 Text	Common	S685 Outline	S685 Text
[TITLE II SEC. 201.(a)] SEC. 6428(a)	IN GENERAL.—In the case of an eligible individual, there shall be allowed as a credit against the tax imposed by subtitle A for the taxable year an amount equal to the rebate amount determined for such taxable year.	case, imposed, amount, equal, determined	[SEC. 3.(a)(1)] SEC. 4695.(b)(1)	CARBON-INTENSIVE PRODUCTS.—In the case of any carbon-intensive product which is exported from the United States, the Secretary shall pay to the person exporting such product a refund equal to the amount of the cost of such product attributable to any fees imposed under this subchapter related to the manufacturing of such product (as determined under regulations established by the Secretary).
[TITLE II SEC. 201.(a)] SEC. 6428(a)		case, imposed, amount, equal, determined	[SEC. 3.(a)(1)] SEC. 4695.(c)(1)(A)	IMPOSITION OF EQUIVALENCY FEE.— In the case of any carbon-intensive product imported into the United States, there is imposed an equivalency fee on the person importing such product in an amount equal to the cost of such product that would be attributable to any fees imposed under this subchapter related to the manufacturing of such product if any inputs or processes used in manufacturing such product were subject to such fees (as determined under regulations established by the Secretary).
[TITLE II SEC. 201.(a)] SEC. 6428(a)		eligible, individual, amount, equal, rebate	SEC. 5.(c)(1)	IN GENERAL.—With respect to each quarter during any fiscal year beginning after September 30, 2023, the carbon fee rebate payment is 1 pro-rata share for each eligible individual of an amount equal to 25 percent of amounts apportioned under section 9512(c)(1)(A) of the Internal Revenue Code of 1986 for such fiscal year.
[TITLE II SEC. 201.(a)] SEC. 6428(a)		case, taxable, amount, equal, rebate, determined	SEC. 5.(d)(2)	PHASEOUT OF PAYMENTS.—In the case of any taxpayer whose modified adjusted gross income for the most recent taxable year for which a return has been filed exceeds the threshold amount, the amount of the carbon fee rebate payment otherwise payable to any household member of the taxpayer under this section shall be reduced (but not below zero) by a dollar amount equal to 5 percent of such payment (as determined before application of this paragraph) for each $1,000 (or fraction thereof) by which the modified adjusted gross income of the taxpayer exceeds the threshold amount.
[TITLE II SEC. 201.(a)] SEC. 6428(b)	REBATE AMOUNT.—For purposes of this section, the term ‘rebate amount’ means, with respect to any taxpayer for any taxable year, the sum of—			
[TITLE II SEC. 201.(a)] SEC. 6428(b)(1)	$800 ($1,600 in the case of a joint return), plus			
[TITLE II SEC. 201.(a)] SEC. 6428(b)(2)	$300 multiplied by the number of dependents of the taxpayer for such taxable year.			
[TITLE II SEC. 201.(a)] SEC. 6428(c)	ELIGIBLE INDIVIDUAL.—For purposes of this section, the term ‘eligible individual’ means any individual other than—			
[TITLE II SEC. 201.(a)] SEC. 6428(c)(1)	any nonresident alien individual,			
[TITLE II SEC. 201.(a)] SEC. 6428(c)(2)	any individual who is a dependent of another taxpayer for a taxable year beginning in the calendar year in which the individual’s taxable year begins, and			
[TITLE II SEC. 201.(a)] SEC. 6428(c)(3)	an estate or trust.			
[TITLE II SEC. 201.(a)] SEC. 6428(d)	LIMITATION BASED ON ADJUSTED GROSS INCOME.—			
[TITLE II SEC. 201.(a)] SEC. 6428(d)(1)	IN GENERAL.—The amount of the credit allowed by subsection (a) (determined without regard to this subsection and subsection (f)) shall be reduced (but not below zero) by the amount which bears the same ratio to such credit (as so determined) as—			
[TITLE II SEC. 201.(a)] SEC. 6428(d)(1)(A)	the excess of—			
[TITLE II SEC. 201.(a)] SEC. 6428(d)(1)(A)(i)	the taxpayer’s adjusted gross income for such taxable year, over			
[TITLE II SEC. 201.(a)] SEC. 6428(d)(1)(A)(ii)	$75,000, bears to			
[TITLE II SEC. 201.(a)] SEC. 6428(d)(1)(B)	$5,000.			
[TITLE II SEC. 201.(a)] SEC. 6428(d)(2)	SPECIAL RULES.—			
[TITLE II SEC. 201.(a)] SEC. 6428(d)(2)(A)	JOINT RETURN OR SURVIVING SPOUSE.—In the case of a joint return or a surviving spouse (as defined in section 2(a)), paragraph (1) shall be applied by substituting ‘$150,000’ for ‘$75,000’ and ‘$10,000’ for ‘$5,000’.			
[TITLE II SEC. 201.(a)] SEC. 6428(d)(2)(B)	HEAD OF HOUSEHOLD.—In the case of a head of household (as defined in section 2(b)), paragraph (1) shall be applied by substituting ‘$112,500’ for ‘$75,000’ and ‘$7,500’ for ‘$5,000’.			
[TITLE II SEC. 201.(a)] SEC. 6428(e)	DEFINITIONS AND SPECIAL RULES.—			
[TITLE II SEC. 201.(a)] SEC. 6428(e)(1)	DEPENDENT DEFINED.—For purposes of this section, the term ‘dependent’ has the meaning given such term by section 152.			
[TITLE II SEC. 201.(a)] SEC. 6428(e)(2)	IDENTIFICATION NUMBER REQUIREMENT.—			
[TITLE II SEC. 201.(a)] SEC. 6428(e)(2)(A)	IN GENERAL.—In the case of a return other than a joint return, the $800 amount in subsection (b)(1) shall be treated as being zero unless the taxpayer includes the valid identification number of the taxpayer on the return of tax for the taxable year.	case, return, amount, zero, taxpayer, taxable	SEC. 5.(d)(2)	PHASEOUT OF PAYMENTS.—In the case of any taxpayer whose modified adjusted gross income for the most recent taxable year for which a return has been filed exceeds the threshold amount, the amount of the carbon fee rebate payment otherwise payable to any household member of the taxpayer under this section shall be reduced (but not below zero) by a dollar amount equal to 5 percent of such payment (as determined before application of this paragraph) for each $1,000 (or fraction thereof) by which the modified adjusted gross income of the taxpayer exceeds the threshold amount.
[TITLE II SEC. 201.(a)] SEC. 6428(e)(2)(B)	JOINT RETURNS.—In the case of a joint return, the $1,600 amount in subsection (b)(1) shall be treated as being—			
	(1) shall be treated as being—			
[TITLE II SEC. 201.(a)] SEC. 6428(e)(2)(B)(i)	$800 if the valid identification number of only 1 spouse is included on the return of tax for the taxable year, and			
[TITLE II SEC. 201.(a)] SEC. 6428(e)(2)(B)(ii)	zero if the valid identification number of neither spouse is so included.			
[TITLE II SEC. 201.(a)] SEC. 6428(e)(2)(C)	DEPENDENTS.—A dependent shall not be taken into account under subsection (b)(2) unless the valid identification number of such dependent is included on the return of tax for the taxable year.			
	(2) unless the valid identification number of such dependent is included on the return of tax for the taxable year.			
[TITLE II SEC. 201.(a)] SEC. 6428(e)(2)(D)	VALID IDENTIFICATION NUMBER.—			
[TITLE II SEC. 201.(a)] SEC. 6428(e)(2)(D)(i)	IN GENERAL.—For purposes of this paragraph, the term ‘valid identification number’ means a social security number issued to an individual by the Social Security Administration on or before the due date for filing the return for the taxable year.	valid, identification, number, social, security	SEC. 5.(a)(1)(A)	who has a valid Social Security number or taxpayer identification number,
[TITLE II SEC. 201.(a)] SEC. 6428(e)(2)(D)(ii)	ADOPTION TAXPAYER IDENTIFICATION NUMBER.—For purposes of subparagraph (C), in the case of a dependent who is adopted or placed for adoption, the term ‘valid identification number’ shall include the adoption taxpayer identification number of such dependent.			
[TITLE II SEC. 201.(a)] SEC. 6428(e)(2)(E)	SPECIAL RULE FOR MEMBERS OF THE ARMED FORCES.—Subparagraph (B) shall not apply in the case where at least 1 spouse was a member of the Armed Forces of the United States at any time during the taxable year and the valid identification number of at least 1 spouse is included on the return of tax for the taxable year.			
[TITLE II SEC. 201.(a)] SEC. 6428(e)(2)(F)	COORDINATION WITH CERTAIN ADVANCE PAYMENTS.—In the case of any payment determined pursuant to subsection (g)(6), a valid identification number shall be treated for purposes of this paragraph as included on the taxpayer’s return of tax if such valid identification number is available to the Secretary as described in such subsection.	payments, case, payment, determined, return	SEC. 5.(d)(2)	PHASEOUT OF PAYMENTS.—In the case of any taxpayer whose modified adjusted gross income for the most recent taxable year for which a return has been filed exceeds the threshold amount, the amount of the carbon fee rebate payment otherwise payable to any household member of the taxpayer under this section shall be reduced (but not below zero) by a dollar amount equal to 5 percent of such payment (as determined before application of this paragraph) for each $1,000 (or fraction thereof) by which the modified adjusted gross income of the taxpayer exceeds the threshold amount.
[TITLE II SEC. 201.(a)] SEC. 6428(e)(2)(G)	MATHEMATICAL OR CLERICAL ERROR AUTHORITY.—Any omission of a correct valid identification number required under this paragraph shall be treated as a mathematical or clerical error for purposes of applying section 6213(g)(2) to such omission.			
[TITLE II SEC. 201.(a)] SEC. 6428(e)(3)	CREDIT TREATED AS REFUNDABLE.—The credit allowed by subsection (a) shall be treated as allowed by subpart C of part IV of subchapter A of chapter 1.			
[TITLE II SEC. 201.(a)] SEC. 6428(e)(4)	INFLATION ADJUSTMENT.—			
[TITLE II SEC. 201.(a)] SEC. 6428(e)(4)(A)	IN GENERAL.—In the case of a taxable year beginning after 2023, the dollar amounts in subsection (b) and (d) shall each be increased by an amount equal to—	case, taxable, dollar, amount, equal	SEC. 5.(d)(2)	PHASEOUT OF PAYMENTS.—In the case of any taxpayer whose modified adjusted gross income for the most recent taxable year for which a return has been filed exceeds the threshold amount, the amount of the carbon fee rebate payment otherwise payable to any household member of the taxpayer under this section shall be reduced (but not below zero) by a dollar amount equal to 5 percent of such payment (as determined before application of this paragraph) for each $1,000 (or fraction thereof) by which the modified adjusted gross income of the taxpayer exceeds the threshold amount.
[TITLE II SEC. 201.(a)] SEC. 6428(e)(4)(A)(i)	such dollar amount, multiplied by			
[TITLE II SEC. 201.(a)] SEC. 6428(e)(4)(A)(ii)	the cost-of-living adjustment determined under section 1(f)(3) for the calendar year, determined by substituting ‘calendar year 2022’ for ‘calendar year 2016’ in subparagraph (A)(ii) thereof.	cost, adjustment, determined, calendar, substituting, subparagraph, thereof	[SEC. 3.(a)] SEC. 4692.(d)(2)(A)(ii)	the cost-of-living adjustment determined under section 1(f)(3) for that calendar year, determined by substituting ‘2022’ for ‘2016’ in subparagraph (A)(ii) thereof.
[TITLE II SEC. 201.(a)] SEC. 6428(e)(4)(B)	ROUNDING.—If any amount as increased under subparagraph (A) is not a multiple of $1, such amount shall be rounded to the nearest whole dollar amount.	rounding, amount, subparagraph, multiple, rounded, dollar	[SEC. 3.(a)] SEC. 4692.(d)(2)(B)	ROUNDING.—If any increase determined under subparagraph (A) is not a multiple of $1, such increase shall be rounded up to the next whole dollar amount.
[TITLE II SEC. 201.(a)] SEC. 6428(f)	COORDINATION WITH ADVANCE REFUNDS OF CREDIT.—			
[TITLE II SEC. 201.(a)] SEC. 6428(f)(1)	REDUCTION OF REFUNDABLE CREDIT.— The amount of the credit which would (but for this paragraph) be allowable under subsection (a) shall be reduced (but not below zero) by the aggregate refunds and credits made or allowed to the taxpayer (or, except as otherwise provided by the Secretary, any dependent of the taxpayer) under subsection (g). Any failure to so reduce the credit shall be treated as arising out of a mathematical or clerical error and assessed according to section 6213(b)(1).	amount, reduced, zero, taxpayer, otherwise	SEC. 5.(d)(2)	PHASEOUT OF PAYMENTS.—In the case of any taxpayer whose modified adjusted gross income for the most recent taxable year for which a return has been filed exceeds the threshold amount, the amount of the carbon fee rebate payment otherwise payable to any household member of the taxpayer under this section shall be reduced (but not below zero) by a dollar amount equal to 5 percent of such payment (as determined before application of this paragraph) for each $1,000 (or fraction thereof) by which the modified adjusted gross income of the taxpayer exceeds the threshold amount.
